Address,Category,Latitude,Longitude,Name,Phone,State,Township,geohash
"H-211/1, 54 St.,",Electrical Goods Sales,16.848277,96.171956,Fukushima Electric, :, :Mandalay Region ," :Pyigyi Tagon
",w4uru7n
"139, 22nd St.,",Electrical Goods Sales,16.775795,96.151366,Min Thein,"
09-73097932, 09-778708757, 09-5066399
", :Yangon Region ," :Latha
",w4ur7vz
"34-D8, San Yae Twin St.,",Construction Services,16.812177,96.158356,"Eiksietan Co., Ltd."," :
", :Yangon Region ," :Bahan
",w4urshs
"84, G Flr, Daw Thein Tin St.,",Hardware Merchants & Ironmongers,16.789862,96.163251,"A.D Co., Ltd. (Solo Agent)","
09-5111737, 09-977921643, 09-977921644, 09-977921640
", :Yangon Region ," :Mingalar Taung Nyunt
",w4urs0x
"Rm 002, Bldg A-5, G Flr, Wai Pon La Housing,",Survey Companies,16.898189,96.156763,"Supreme Land Surveying Co., Ltd.", :, :Yangon Region ," :North Okkalapa
",w5h2hh5
"520-D4, Shwe Taung Gone Yeik Thar, Koh Minn Koh Chin Ward,",Clinics [Private],16.80844,96.15686,Rose,"
01-552926, 09-33392777
", :Yangon Region ," :Bahan
",w4urs5g
"Rm 001, Bldg A-5, Min Dhama Rd., Shwe Kabar Housing,",Sewing Machines & Accessories,16.868297,96.131534,Juki, :, :Yangon Region ," :Mayangone
",w4urgwb
"02, Rm C/003, 2nd Flr, Shwe Dagon Pagoda Rd., Corner of Bogyoke Aung San Rd.,",Jewellery Shops,16.778824,96.154593,Pyae Sone Shin, :, :Yangon Region ," :Pabedan
",w4urkn3
"Rm 4, Bldg 319, Yan Aung Lane (2),",Real Estate Agents,16.824597,96.162335,"TPL Myanmar Real Estate and Delivery Services Co., Ltd.","
09-73067715, 09-259270070, 09-955198105
", :Yangon Region ," :Yankin
",w4ursnz
"F / S-17, Bayint Naung Rd., Shwe Sabei Yeikmon,",Baby Vitamins,16.829103,96.122258,"Gold Power Co., Ltd.", :, :Yangon Region ," :Kamayut
",w4urerd
"16, 3rd Flr, Maha Bawga St., Myaynigone,",Construction Services,16.803281,96.138558,"Noble Future Co., Ltd.", :, :Yangon Region ," :Sanchaung
",w4uredv
"D-2, 76 St., Between 33 St. and 34 St., Yadanar Thiri Houseing,",Gold Shops/Goldsmiths,21.971179,96.090215,OK Silversmith,"
09-768220069, 09-2402547
", :Mandalay Region ," :Chan Aye Thar Zan
",w5ukfxd
"15, Mingalar St., Kha Ward,",Event Management/Organisers & Ceremony Services ,16.845779,96.201111,New Entertainment, :, :Yangon Region ," :Thingangyun
",w4urv4e
"A-2/007, Banyar Dala Rd., Yuzana Housing,",Doors & Shutters Sales,16.795706,96.176424,Daw Thein Chit Family,"
01-293129, 09-5073864, 09-5073865
", :Yangon Region ," :Tarmwe
",w4urs99
"Myittar Rd., Mya Thidar Housing,",Car Body Workshops,16.838952,96.180822,Aung,"
09-421147011, 09-8634999
", :Yangon Region ," :South Okkalapa
",w4uru9k
"107/1, Kyun Shwe Myaing St., Ward (23),",Fire Extinguishers & Fire Fighting Equipment,16.817723,96.19396,"Pan Omni Co., Ltd.", :, :Yangon Region ," :Thingangyun
",w4ursvw
"Pan Hlaing Housing,",Hospitals [Private],16.840987,96.088626,Pun Hlaing SILOAM Hospitals," :
", :Yangon Region ," :Hlaing Thar Yar
",w4urf9c
"669, Rm 5/B, Thu Matetar 17th St., Ward (1),",Tourism Services,16.871782,96.155329,"The Green Miles Quality [GMQ] Co., Ltd.","
09-794641068, 09-5408638
", :Yangon Region ," :North Okkalapa
",w4urup6
"44, Phone Gyee St.,",Pipes & Pumps Accessories,16.776143,96.144914,Superlion,"
09-5170840, 09-785170840, 09-965170840
", :Yangon Region ," :Lanmadaw
",w4ur7y4
"333/334, Thazin St., Industrial Zone (1), Part.6/ Dine Su,",Foodstuffs,16.857876,96.087331,One Pauksi," :
", :Yangon Region ," :Hlaing Thar Yar
",w4urfsb
"1033, Pyay Rd.,",Building Materials,16.888125,96.124128,Thanlwin,"
09-425751556, 09-425751557, 09-425751587
", :Yangon Region ," :Insein
",w5h2567
"21, 3rd Flr, Botahtaung Lane (3), Ward (4),",Consultants & Consultancy Services,16.772351,96.17351,Phoe Phyu & Associates Ltd.,"
09-254051719, 09-960278100
", :Yangon Region ," :Botahtaung
",w4urkmr
"52, Thamain Bayan Rd., Top of Pon Nya Wuttana St.,",Gas Cookers & Accessories,16.812351,96.180573,Ko Kyaw Gas,"
09-73022286, 09-5059685, 09-425301004
", :Yangon Region ," :Tarmwe
",w4ursss
"K, B.E.H.S (1),",Laundries,16.829502,96.163528,BEE SMART,"
09-781024470, 09-950678046
", :Yangon Region ," :Yankin
",w4ursr8
"48, Thamain Bayan Rd., Top of Dhama Darna St.,",Gas Cookers & Accessories,16.807902,96.179133,Bo Min Latt,"
09-5134116, 09-43021395, 09-420108805
", :Yangon Region ," :Tarmwe
",w4urseg
"B-4/55, 65 St., Myothit,",Pest Control Services,21.929654,96.105496,Page Pest Control,"
09-421758781, 09-790779612
", :Mandalay Region ," :Chan Mya Tharsi
",w5ukfbj
"17, Nilar St., Ward (13),",Slipper Raw Materials,16.851948,96.11812,"Toe Tet Aung Co., Ltd.","
01-516369, 09-5110864, 09-961234900
", :Yangon Region ," :Hlaing
",w4urg5z
"Blk C-1, A-92, G Flr, D Shed, Thein Gyi Market,",Slipper Shops,16.775579,96.152965,Shwe Mahar,"
09-400443666, 09-31083119, 01-705637
", :Yangon Region ," :Latha
",w4urkjb
"64, G Flr, Bogalay Zay St.,",Tourism Services,16.770718,96.165606,Myanmar Travelogue, :, :Yangon Region ," :Botahtaung
",w4urkm1
"60, Rm 201-206, Shwe Dagon Pagoda Rd., Prime Hill Business Square,",Engineers [General],16.783893,96.153848,"Chiyoda & Public Works Co., Ltd.", :, :Yangon Region ," :Dagon
",w4urkp3
"141, Industrial Zone (1), U Shwe Bin St,",Furniture Marts,16.841607,96.085958,Jaguar (Blue Bird), :, :Yangon Region ," :Hlaing Thar Yar
",w4urf3z
"Rm 004, Bldg C-1, Hnin Si St., Sinmalite Highway Complex, Ward (6),",Security Systems & Equipment,16.820647,96.124129,Unified Technology Solution, :, :Yangon Region ," :Kamayut
",w4ureq5
"6, 4th Flr, Shwe Pyae Sone Market, Mingalar Market Compound,",Ice Cream,16.792467,96.170679,Aung Htoo San,"
09-777189100, 09-777190150, 09-5134125, 01-206206(Ext:7008)
", :Yangon Region ," :Mingalar Taung Nyunt
",w4urs2v
"3/231, Bo Zin Yaw St., Ward (30),",Furniture Marts,16.8745,96.199284,Faith & Love, :, :Yangon Region ," :North Dagon
",w4urvpf
"222, Lan Thit Rd.,",Roofing Materials,16.902316,96.121377,ASM Construction & Building Materials," :
", :Yangon Region ," :Insein
",w5h25kc
"Rm 002, Bldg 3, Bayint Naung Rd., Zeyar Mon Housing,",Bags [Penang],16.862771,96.107315,Theik Theik San,"
09-73249642, 01-3680754, 01-700268
", :Yangon Region ," :Mayangone
",w4urfvz
"77, 31st St., Lower Block, Ward (9),",Press & Printers [Offset],16.77382,96.157533,Aung Auza,"
09-5150584, 09-73198885, 09-250106915
", :Yangon Region ," :Pabedan
",w4urkje
"7, Myint Moh St.,",Veterinary Clinics,16.812087,96.135065,Min,"
09-5014606
", :Yangon Region ," :Sanchaung
",w4urese
"69, Twin Thin Tike Wun U Tun Nyo St., Industrial Zone (2),",Noodles & Vermicelli [Instant] [Manu/Dist],16.849068,96.12735,Cho Cho Industry Limited, :, :Yangon Region ," :Hlaing Thar Yar
",w4urg7m
"Rm 24/A, Bldg 2, 1st Flr, 8 Mile Junction, Ward (4),",Construction Services,16.8933791,96.1396861,"Sai Uni Construction Co., Ltd.","
 01-650750, 01-653502, 09-780786199
", :Yangon Region ," :Mayangone
",w5h25eq
"712/714, Maha Bandoola Rd., Corner of 18th St.,",Hotels,16.774813,96.14868,Kaung Su San, :, :Yangon Region ," :Latha
",w4ur7vv
"265, Rm 6, Kon Zay Dan St., Middle Block,",Cosmetics,16.775723,96.154688,"Myanmar iberchem Co., Ltd.", :, :Yangon Region ," :Pabedan
",w4urkjc
"5B, Aung Zeya Rd., Kyauk Kone,",Photo Studios & Labs,16.8321903,96.1658748,His & Hers,"
09-250188137, 09-782022571
", :Yangon Region ," :Yankin
",w4uru21
"C/30, 25 St., Between 80 St. and 81 St.,",Machinery & Spare Parts Dealers,21.984401,96.083348,C.T.B,"
09-976373809
", :Mandalay Region ," :Aung Myay Thar Zan
",w5um46j
"Nya/66(Ka), Yuzana St., Bayint Naung,",Warehouses [Betel Nut],16.839142,96.113617,ZK,"
09-5114287, 09-785114287, 09-775558856
", :Yangon Region ," :Mayangone
",w4urg17
"17, 100th St., Loot Latt Yay Ward,",Car Spare Parts & Accessories,16.783521,96.167571,Ta Nyin,"
01-294919, 09-5146464, 09-443246464
", :Yangon Region ," :Mingalar Taung Nyunt
",w4urkr7
"1129, 2nd Flr, Yarza Thura 15th St., Ward (7),",Decoration Services,16.772839,96.162962,I Design Global Private Limited., :, :Yangon Region ," :South Okkalapa
",w4urkjr
"17/A, Aung Theiddi St.,",Electrical Goods Sales,16.870593,96.122258,"Rainbow Bridge Distribution Co., Ltd.", :, :Yangon Region ," :Mayangone
",w4urgr4
"J-38, Thiri Yadanar Retail/Wholesale Market,",Car Engine Oil & Lubricants,16.923352,96.152873,Gone Shein Myanmar, :, :Yangon Region ," :North Okkalapa
",w5h2k0b
"12, Mya St., Kyaikkasan Ward,",Electricians & Electrical Contractors,16.815959,96.167261,"RMS (Myanmar Engineering Co., Ltd.)", :, :Yangon Region ," :Bahan
",w4ursm6
"8, Rm 102, Nay Kyar Thar Yar Gone St,",Security Systems & Equipment,16.777656,96.173835,"Winning Security Group Co., Ltd.", :, :Yangon Region ," :Pazundaung
",w4urkqr
"124, 34th St., Middle Block,",Press & Printers [Offset],16.776394,96.159927,Ka Laung Thit, :, :Yangon Region ," :Kyauktada
",w4urknj
"L-85/C, Kan Yeik Thar 5th St., FMI City,",Construction Services,16.858971,96.084211,"Trade Garden Co., Ltd.","
09-5504848
", :Yangon Region ," :Hlaing Thar Yar
",w4urfmn
"2 / 2, DOF Compound, Gyoh Gone (West) Ward,",Ice Factories,16.865423,96.099289,Hnin Taung, :, :Yangon Region ," :Insein
",w4urfy3
"10, Min Dhama Rd., Nature Park Residence, Ward (4),",Hotels,16.868967,96.140425,Bay of Bengal, :, :Yangon Region ," :Mayangone
",w4urgwz
"No.(2) Main Rd., Lay Dauk Kan,",Orchid Farms,17.131089,96.326698,Cho Thae,"
09-252889076, 09-8621716
", :Yangon Region ," :South Dagon
",w5h3ryw
"667, Myat Mon St., Ward (36),",Clinics [Private],16.8783,96.19292,East West Parami Services Ltd., :, :Yangon Region ," :North Dagon
",w5h2hbt
"170/172, Set Yone Rd. (Mill Rd.), Infront Of Mingalar Market,",Plastic Materials & Products,16.792899,96.173847,Summit Plastic, :, :Yangon Region ," :Tarmwe
",w4urs3p
"14/8, Bet; 28 St. and 29 St. & Bet; 62 St. and 63 St., Mya Sandar Lane.,",Construction Services,21.977819,96.111668,Ever Hi Tech, :, :Mandalay Region ," :Chan Aye Thar Zan
",w5um50f
"367, Bogyoke Aung San Rd., Top of Bo Soon Pat St.,",Book Publishers & Distributors,16.780751,96.156752,Pyit Taing Htaung,"
09-73251450, 09-798431142
", :Yangon Region ," :Pabedan
",w4urkng
"45/1232, Bo Hmu Ba Htoo Rd., Near 46 Junction,",Construction Services,16.899008,96.19335,Sin Min Dagun, :, :Yangon Region ," :North Dagon
",w5h2hum
"214, 2nd Flr, Bo Aung Kyaw St.,",Website Solution Services,16.773264,96.164288,Freelance Web Service, :, :Yangon Region ," :Botahtaung
",w4urkm2
"5, Alanpya Pagoda Rd.,",Bars & Night Clubs,16.78272,96.158617,Babett Eatery & Bar, :, :Yangon Region ," :Dagon
",w4urkph
"21, Gandawin St., Industrial Zone (5),",Car Engine Oil & Lubricants,16.891132,96.042121,Top Three Company Limited., :, :Yangon Region ," :Hlaing Thar Yar
",w5h216z
"G-5, Pyay Rd., Diamond Condo,",Building Materials,16.8223436,96.1312596,Natural Clay, :, :Yangon Region ," :Kamayut
",w4urew2
"168, 1st Flr, Shwe Mingalar Market,",Fashion Shops,16.791532,96.175929,Tat Nay Lin,"
09-5178019, 09-5199469
", :Yangon Region ," :Mingalar Taung Nyunt
",w4urs8c
"33, Rm A/1, G Flr, Moe Kaung Rd., Bauk Htaw,",Silk Wear,16.829053,96.170441,Shwe Nadi,"
09-454015445, 09-785078327
", :Yangon Region ," :Yankin
",w4ursrt
"Bldg S-4, Waizayantar Rd., Shwe Ingyin Yeik Mon Housing,",Tourism Services,16.813408,96.191024,Unileisure Travel, :, :Yangon Region ," :Thingangyun
",w4ursuu
"32, D Shed, 24th St., Thein Gyi Market,",Electrical Goods Sales,16.775282,96.152888,Kaung Myat San,"
09-5504480, 09-5150709, 01-240600 Ext: 4251
", :Yangon Region ," :Latha
",w4urkjb
"82/A, Kyaik Waing Pagoda Rd.,",Building Materials,16.86478,96.14126,Smart Home, :, :Yangon Region ," :Mayangone
",w4urgwp
"455, 82 St., Between 34 St. and 35 St.,",Motorcycle Accessories & Parts,21.970612,96.080514,Ninja,"
02-4033038, 02-4072919
", :Mandalay Region ," :Chan Aye Thar Zan
",w5ukfre
"720-721, Pale Main Rd,",Heavy Machineries & Equipment,16.93997584,96.08682526,"Tun Linn (T.L) Co., Ltd.", :, :Yangon Region ," :Shwe Pyi Thar
",w5h26eb
"Blk 41, Between 65 St. and 66 St., Ah Shae Phone Taw Doe (1) St.,",Building Materials,22.021958,96.111642,Tat Lue,"
09-2001190, 09-792001190
", :Mandalay Region ," :Aung Myay Thar Zan
",w5um70f
"Blk 70, Daw Phwar Shin St., Industrial Zone (1), Yaw atwin Won U Pho Hlaing Road,",Plastic Materials & Products,16.856571,96.071922,Elephant Plastic,"
09-450017615, 01-3684057, 01-3684173
", :Yangon Region ," :Hlaing Thar Yar
",w4urfht
"31, G Flr, Ni Gyaw Da St., Top of Baya Theiddi St., Kyauk Myaung,",Fashion Shops,16.804418,96.177001,Theint,"
09-73116627, 09-43046782
", :Yangon Region ," :Tarmwe
",w4urse1
"65 St., Corner of Thazin St., Myothit,",Silk Wear,21.94718,96.106196,Nan Htate Htar,"
09-43128900, 09-798588900
", :Mandalay Region ," :Chan Mya Tharsi
",w5ukfgq
"347, 29 St., Corner of 81 St.,",Yarn,21.978878,96.081664,Aung Sein,"
02-4066198, 02-4032998, 09-2019682
", :Mandalay Region ," :Chan Aye Thar Zan
",w5um43h
"356, Wet Ma Soot Wun Htauk St., Shwe Linban Industrial Zone,",Packing/Filling & Wrapping Materials & Equipment,16.911356,96.071696,"Pack Express Co., Ltd.", :, :Yangon Region ," :Hlaing Thar Yar
",w5h24nt
"Khay Mar Thi Rd., Near Yadanar Theingi Market,",Thingans & Monk's Utensils,16.912083,96.160551,Shwe Nayar,"
09-450046004, 09-5019990, 09-265019990
", :Yangon Region ," :North Okkalapa
",w5h2hnv
"53, G Flr, 30th St.,",Chemicals,16.773419,96.156766,Thuwunna Nadi Trading Limited., :, :Yangon Region ," :Pabedan
",w4urkje
"29 St., Corner of 84 St.,",Book Shops,21.979372,96.077581,Khit Mee,"
02-4023036
", :Mandalay Region ," :Chan Aye Thar Zan
",w5um431
"4/3, Than Thu Mar Rd., Thuwunna,",Interior Decoration Materials & Services,16.818921,96.19718,Delight Amatat, :, :Yangon Region ," :Thingangyun
",w4urtjb
"127, 34th St., Middle Block,",Book Publishers & Distributors,16.77481,96.160645,Sandar Nyunt,"
01-256145, 01-383836, 09-795147587
", :Yangon Region ," :Kyauktada
",w4urkjy
"1533, Htu Par Yone 16th St.,",Tailors,16.878712,96.193312,Shwe Zay Yar Win,"
09-261140004, 09-261142224, 09-8620615
", :Yangon Region ," :Thaketa
",w5h2hbt
"948, Yathawaddy St., Ward (13),",Coffee Makers,16.84768,96.195117,"KUSUMA Industry Co., Ltd.", :, :Yangon Region ," :South Okkalapa
",w4urugp
"Rm 1, Bldg s, 13 Shed, Thazin St., Nanthargone Bicycle & Sparepart Dealers Compound,",Motorcycle Accessories & Parts,16.7818,96.15397,Maung Maung Soe and Brothers,"
09-5174683, 09-965174683, 01-9640307, 01-647680
", :Yangon Region ," :Insein
",w4urkp1
"H-218/29, Bet; 57 St. and 58 St. & Bet; Avrest St and Kanaung Min Thar Gyi St, Sat Mu Zone,",Industrial Constructors/Equipment & Supplies,21.8741327,96.116699,Khaing Khant Thu,"
09-402515110, 09-259228334
", :Mandalay Region ," :Pyigyi Tagon
",w5uk7nn
"97, Myeik St., Ward (19),",Electrical Goods Sales,16.85235,96.23013,Htate Tan,"
09-420156239, 01-590475
", :Yangon Region ," :South Dagon
",w4urvgb
"20, Hlaw Gar Rd., Ka-Ward,",Pharmacy Shops [Traditional],16.845676,96.283176,San Pay Saydanar Mon (Wahzi Kayana),"
09-5043279, 09-5131396
", :Yangon Region ," :South Dagon
",w4uryfx
"46, Phyar Pone St.,",Tourism Services,16.806432,96.131216,"Shwe Khinn Lann Co.,Ltd","
01-524841, 09-788999810~860
", :Yangon Region ," :Sanchaung
",w4uree8
"B/1, Padonmar St., Su Paung Bus Stop, Thuwana/24 Ward,",Car Workshops [OBD II System],16.817892,96.198928,PIT & Go Emerald Crown, :, :Yangon Region ," :Thingangyun
",w4urtj9
"3/A, Tapin Shwe Htee St., Ward (10),",Textile & Garment Accessories,16.8851542,96.2027579,Shwe Latt Yar, :, :Yangon Region ," :East Dagon
",w5h2j1u
"130, Rm (1/2)(8/9), Thamain Bayan Rd., Top Tarmwe Circle,",Electrical Goods Sales,16.81155,96.171487,Aung,"
09-73082023, 09-5019863, 01-545272
", :Yangon Region ," :Tarmwe
",w4urskm
"23, Than Thu Mar Rd., Zizawa Garden Housing,",Pharmaceutical Suppliers,16.858989,96.179834,"EMP Co., Ltd.","
01-570197, 01-8500081
", :Yangon Region ," :South Okkalapa
",w4uruth
"113, Kanaung Min Thar Gyi St., Corner of Bayint Naung Rd., Industrial Zone (4),",Drinking Water [Manu/Dist],16.861631,96.106926,Sam Par Oo," :
", :Yangon Region ," :Shwe Pyi Thar
",w4urfvw
"95/F, Waizayantar Rd., Ward (3),",Restaurants,16.8495959,96.1678613,DIY HOT POT & BBQ,"
09-258200088, 09-258200900, 09-258202088
", :Yangon Region ," :South Okkalapa
",w4uru77
"440, Thein Phyu Rd.,",Musical Instruments,16.78529,96.16756,"Moonlight Musical Co., Ltd.", :, :Yangon Region ," :Mingalar Taung Nyunt
",w4urkre
"3/C-15, Hnin Si 5th St., Snow Garden Housing,",Fitness Centres & Gyms,16.82527,96.19484,Lotus Yoga,"
09-767099117, 09-767099118
", :Yangon Region ," :Thingangyun
",w4ursyy
"46/A, G Flr, Khay Mar St., Thiri Khaymar Ward,",Electrical Goods Sales,16.801528,96.12673,C1 Electrical Engineering (M & E), :, :Yangon Region ," :Sanchaung
",w4ure6t
"C/163, Heindar St., Industrial Zone (3),",Agriculture,16.845214,96.22316,Ko Kyaw Myint,"
09-73051368, 09-256083363, 09-953051368
", :Yangon Region ," :South Dagon
",w4urvde
"W/3, Pyi Gyi Mingalar Bus Station, Swal Taw,",Freight Forwarders,21.8719612,96.105121,Htet Nay Won,"
09-444002472, 09-43100282
", :Mandalay Region ," :Pyigyi Tagon
",w5uk6vt
"B-3, Rm 201, 3rd Flr, Pazundaung Garden Housing,",Advertising Agencies,16.788097,96.176683,Pyay San, :, :Yangon Region ," :Pazundaung
",w4urs81
"503, Yaw Ah Twin Wun U Phoe Hlaing St., Shwe Linban Industrial Zone,",Plastic Materials & Products,16.772655,96.15763,"KK TOP PLASTIC INDUSTRY GROUP CO., LTD.","
09-5012026, 09-250150756
", :Yangon Region ," :Hlaing Thar Yar
",w4urkj7
"29, Central Shed, Bogyoke Aung San Market,",Jewellery Shops,16.78024,96.15533,Nay La Wun, :, :Yangon Region ," :Pabedan
",w4urknd
"Rm 29, Bldg 7, Kyaik Waing Pagoda Rd., Thamaing Junction,",Security Services,16.861788,96.122548,Black Hawk Security Services, :, :Yangon Region ," :Mayangone
",w4urgmd
"136, G Flr, 28th St., Middle Block,",Electrical Goods Sales,16.775879,96.155406,GALAXY LIGHT,"
01-377603, 09-450019883, 09-5182667
", :Yangon Region ," :Pabedan
",w4urkjf
"63, Htar Na St., Htar Nar Ward,",Packing/Filling & Wrapping Materials & Equipment,16.7897,96.127815,SMI (Distributor of SKP),"
09-5195951, 09-775195951
", :Yangon Region ," :Ahlone
",w4ure2q
"5, Rm 006, G Flr, 54th St., Upper Block,",Press & Printers [Offset],16.775331,96.173852,Mahaw Thadar Press, :, :Yangon Region ," :Pazundaung
",w4urkmz
"27, Tayoke Bone Kyaung St., Corner of Layar Shwe Myay St., Myittar Nyunt Ward,",Car Workshops,16.819298,96.179228,TZ Auto,"
09-5052876, 09-795331766
", :Yangon Region ," :Tarmwe
",w4urstg
"116, Thamaing Butar Yon Rd., Ward (2),",Electrical & Mechanical Services,16.888004,96.111429,"WM Power Co., Ltd.", :, :Yangon Region ," :Mayangone
",w5h2546
"29/B, 2nd Flr, Zeyar Thiri St., Hledan,",Computer Training Centres,16.828664,96.128287,RDS , :, :Yangon Region ," :Kamayut
",w4urerw
"138, Pyay Rd., 10 Mile,",Decorators & Decorating Materials,16.889317,96.130783,"Ou Lee Kitchen (Creative Line Co., Ltd. )","
09-73007588, 09-421158666, 01-642115
", :Yangon Region ," :Insein
",w5h25d8
"80 St., Between 38 St. and 39 St.,",Security Systems & Equipment,21.963892,96.083446,AHEAD,"
09-2174322
", :Mandalay Region ," :Maha Aung Myay
",w5ukfqm
"Rm 1/2, 131 Shed, Shwe Wah St., Sawbwargyi Gone Warehouses,",Building Materials,16.890915,96.1237,Aung Nay Lin (Hein Zaw), :, :Yangon Region ," :Insein
",w5h256g
"1st Flr, Saya San Rd., San Pya Yankin Market, Ward (2),",Building Materials,16.823286,96.163468,Infinity Yangon (Rigel)," :
", :Yangon Region ," :Yankin
",w4ursq8
"56, Kaba Aye Pagoda Rd.,",Building Materials,16.828628,96.1535051,"TMW Enterprise Co., Ltd.","
01-544664, 01-545963, 01-556997
", :Yangon Region ," :Bahan
",w4ursp8
"57, Lower Strand Road, City Garden Bld,",Bakery & Cake Makers,21.981008,96.061413,Mobile Crepe Cakes-Mandalay,"
09-794706450, 09-780691277
", :Mandalay Region ," :Chan Aye Thar Zan
",w5um1ct
"408/409, Shwe Li St., Industrial Zone (2),",Soft Drinks/Juices & Beverages,16.787819,96.168716,Tharaphu,"
01-2348141, 01-291655, 01-591174
", :Yangon Region ," :South Dagon
",w4urs25
"16, Yangon Industrial Zone, R-4 St,",Plastic Materials & Products,16.943918,96.175557,"Shin Ma Myanmar Industrial Co., Ltd.", :, :Yangon Region ," :Mingalardon
",w5h2ks8
"119/121, Rm 5/C, Bldg Yone Phyu Lay, Anawrahta Rd., Between 49th St. and 50th St.,",Container Services,16.776621,96.170714,"MKM [Min Kaung Myat Kyaw Co., Ltd.]","
01-9010589, 09-421008119, 09-262966227, 09-262966337
", :Yangon Region ," :Pazundaung
",w4urkqj
"Rm 1/2/3/4, 92 Shed, Kyauk Sein 1st St., Saw Bwar Gyi Gone, Near CB Bank,",Building Materials,16.893672,96.120678,Ayewarat,"
01-644216, 01-655026, 09-450024123
", :Yangon Region ," :Insein
",w5h2572
"159, U Chit Maung Rd., Infront Of Zay Gwe Bus Stop,",Communication Equipment,16.817681,96.166498,Talk Mobile,"
01-8604821, 09-400470184, 09-253339133
", :Yangon Region ," :Bahan
",w4ursmd
"66-76, Merchant Rd., Corner of Pansoedan St.,",Banks [Private],16.772958,96.161408,Shwe Bank," :
", :Yangon Region ," :Kyauktada
",w4urkjq
"245, 30th St.,",Slippers & Shoe Making Machines,16.778662,96.156813,U Khin Maung,"
01-252972, 01-386439, 09-5052945
", :Yangon Region ," :Pabedan
",w4urkn7
"57, 41st St.,",Press & Printers [Offset],16.770016,96.164723,Sein Win, :, :Yangon Region ," :Botahtaung
",w4urkkc
"92, Myintzu St., Near Thiri Mingalar Rd., Htan Pin Kone Ward,",Roofing Materials,16.902316,96.121377,ASM," :
", :Yangon Region ," :Insein
",w5h25kc
"56, Kaba Aye Pagoda Rd., Near Micasa Hotel, Mahar Land Center,",Restaurants [Korean],16.846119,96.157007,Gangnam Buffet,"
09-975589247, 09-957001775
", :Yangon Region ," :Yankin
",w4uru4e
"Rm 002, Bldg 9, Thamaing Butar Yon Rd., Shwe Htee Housing,",Electrical Goods Sales,16.860246,96.112523,Power Apex Electric, :, :Yangon Region ," :Mayangone
",w4urgj7
"576, May Darwi Rd., Za Myin Zwel Ward,",Stationery,16.912713,96.161627,Win La Pyae,"
09-972455457, 09-454406500
", :Yangon Region ," :North Okkalapa
",w5h2hny
"D-7, Thiri Mon 2nd St., Thiri Mon Plaza,",Agricultural Machineries & Tools,16.858365,96.10691,Thai-7,"
09-449250541, 09-425330313, 01-9688907
", :Yangon Region ," :Mayangone
",w4urfuy
"Nagyi D/18 Shed, Myin Chan St., Aung Mingalar High-Way Bus Terminal,",Buses [Highway],16.931829,96.159907,Taung Pyar Tan,"
01-637451, 09-420203040, 09-33427707
", :Yangon Region ," :Mingalardon
",w5h2k4m
"26, 3rd St.,",Transportation Services,16.77604,96.154067,Ko Pho Kalar + Ma Nwe (Car Gate),"
09-5038400, 09-420085034, 09-455038400
", :Yangon Region ," :Lanmadaw
",w4urkjc
"Rm 8, 34 Shed, Kyauk Sein 4th St., Saw Bwar Gyi Gone,",Building Materials,16.891485,96.121797,Tharaphu,"
01-9640032, 01-642808, 09-785016168, 09-785176340, 09-5016168
", :Yangon Region ," :Insein
",w5h2571
"199, Ngu War St., Saw Yan Paing Ward,",Fashion Shops,18.865125,96.561213,Pancy-K,"
09-420484577, 09-49236605
", :Yangon Region ," :Ahlone
",w5kem63
"61/B, New University Avenue Rd., Royal Shwe Myintzu Condo,",Flowers & Florists,16.823279,96.155881,Lady Rose Preserved Flower & Floral Services,"
09-73204762
", :Yangon Region ," :Bahan
",w4ursnd
"130/4, Ngar Htat Kyee Pagoda Rd., Kin Bae St,",Drums & Barrels,16.80338536,96.15991,Daw Hlaing & Sons,"
01-548123, 01-548566, 01-540115
", :Yangon Region ," :Bahan
",w4urs4v
"65, Lay Daunt Kan Rd., Thu Mingalar Housing,",Decorators & Decorating Materials,16.77473,96.152118,"Sin Pauk Trading Co., Ltd.", :, :Yangon Region ," :Thingangyun
",w4ur7vx
"28, Rm A-2, Kan St., Ward (10),",Laundries,16.871811,96.124278,Senar Billion Force,"
09-420907771
", :Yangon Region ," :Hlaing
",w4urgr7
"58, Htar Nar St.,",Education Services,16.8141,96.122795,Yangon Education Center,"
09-977909973
", :Yangon Region ," :Kyeemyin Daing
",w4urekf
"217, Rm 8, Bo Soon Pat St.,",Water Treatment Systems,16.776015,96.157628,"M.K.A Shwe Myanmar Co., Ltd.", :, :Yangon Region ," :Pabedan
",w4urkjg
"66, Rm G-1, Bldg 4, Moe Kaung Rd., Ward (13),",Construction Services,16.83807,96.167958,"Multi Techno Power Engineering Co., Ltd.", :, :Yangon Region ," :Yankin
",w4uru37
"28/B, Thumana St., Yan Pyay Ward (3),",Photo Studios & Labs,16.788115,96.193308,Image Group, :, :Yangon Region ," :Thaketa
",w4ursbj
"76, 32nd St., Lower Block,",Advertising Agencies,16.772938,96.158058,Sein Yadanar,"
09-5102750, 01-388115
", :Yangon Region ," :Pabedan
",w4urkjk
"242, 2nd Flr, 35th St., Upper Block,",Motion Picture Producers,16.777673,96.160871,Power 9,"
09-795222001, 09-5147048
", :Yangon Region ," :Kyauktada
",w4urknq
